listingMonthYear,listingYear,Jobs
April,2019,125
April,2020,31
April,2021,133
August,2019,116
August,2020,52
December,2019,74
December,2020,48
February,2019,115
February,2020,93
February,2021,67
January,2019,1
January,2020,106
January,2021,64
July,2019,108
July,2020,71
July,2021,55
June,2019,132
June,2020,62
June,2021,127
March,2019,165
March,2020,65
March,2021,104
May,2019,160
May,2020,35
May,2021,188
November,2019,81
November,2020,77
October,2019,114
October,2020,81
September,2019,122
September,2020,85
